id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
NE;NORDESTE;2024-01-02 22:00:00;14155.64800000
S;SUL;2024-01-02 22:00:00;13641.97500000
SE;SUDESTE;2024-01-02 22:00:00;45273.03900000
N;NORTE;2024-01-02 23:00:00;7599.63200000
NE;NORDESTE;2024-01-02 23:00:00;13886.86699999
S;SUL;2024-01-02 23:00:00;12805.33200000
SE;SUDESTE;2024-01-02 23:00:00;42998.02099999
N;NORTE;2024-01-03 00:00:00;7506.32000000
NE;NORDESTE;2024-01-03 00:00:00;13486.13499999
S;SUL;2024-01-03 00:00:00;11972.83800000
SE;SUDESTE;2024-01-03 00:00:00;40826.32299999
N;NORTE;2024-01-03 01:00:00;7363.49500000
NE;NORDESTE;2024-01-03 01:00:00;13114.77900000
S;SUL;2024-01-03 01:00:00;11374.68700000
SE;SUDESTE;2024-01-03 01:00:00;38995.24199999
N;NORTE;2024-01-03 02:00:00;7228.02500000
NE;NORDESTE;2024-01-03 02:00:00;12793.69300000
S;SUL;2024-01-03 02:00:00;10902.48699999
SE;SUDESTE;2024-01-03 02:00:00;37802.43499999
N;NORTE;2024-01-03 03:00:00;7117.86900000
NE;NORDESTE;2024-01-03 03:00:00;12503.81900000
S;SUL;2024-01-03 03:00:00;10664.66900000
SE;SUDESTE;2024-01-03 03:00:00;37074.87599999
N;NORTE;2024-01-03 04:00:00;7011.76800000
NE;NORDESTE;2024-01-03 04:00:00;12297.98699999
S;SUL;2024-01-03 04:00:00;10602.24799999
SE;SUDESTE;2024-01-03 04:00:00;37010.00199999
N;NORTE;2024-01-03 05:00:00;6903.34800000
NE;NORDESTE;2024-01-03 05:00:00;11749.53900000
S;SUL;2024-01-03 05:00:00;10786.02800000
SE;SUDESTE;2024-01-03 05:00:00;37180.29299999
N;NORTE;2024-01-03 06:00:00;6600.20400000
NE;NORDESTE;2024-01-03 06:00:00;11578.73800000
S;SUL;2024-01-03 06:00:00;11443.08000000
SE;SUDESTE;2024-01-03 06:00:00;38480.83299999
N;NORTE;2024-01-03 07:00:00;6550.58100000
NE;NORDESTE;2024-01-03 07:00:00;12125.51800000
S;SUL;2024-01-03 07:00:00;12675.32100000
SE;SUDESTE;2024-01-03 07:00:00;41491.16099999
N;NORTE;2024-01-03 08:00:00;6771.90100000
NE;NORDESTE;2024-01-03 08:00:00;12880.67899999
S;SUL;2024-01-03 08:00:00;13487.69500000
SE;SUDESTE;2024-01-03 08:00:00;44238.23600000
N;NORTE;2024-01-03 09:00:00;6862.23900000
NE;NORDESTE;2024-01-03 09:00:00;13140.42099999
S;SUL;2024-01-03 09:00:00;13815.82299999
SE;SUDESTE;2024-01-03 09:00:00;46048.12299999
N;NORTE;2024-01-03 10:00:00;6967.47900000
NE;NORDESTE;2024-01-03 10:00:00;13115.17700000
S;SUL;2024-01-03 10:00:00;14310.92300000
SE;SUDESTE;2024-01-03 10:00:00;47199.82800000
N;NORTE;2024-01-03 11:00:00;6867.09599999
NE;NORDESTE;2024-01-03 11:00:00;13050.71899999
S;SUL;2024-01-03 11:00:00;14616.80899999
SE;SUDESTE;2024-01-03 11:00:00;47019.18500000
N;NORTE;2024-01-03 12:00:00;6858.75800000
NE;NORDESTE;2024-01-03 12:00:00;12762.36700000
S;SUL;2024-01-03 12:00:00;14282.39600000
SE;SUDESTE;2024-01-03 12:00:00;46617.02600000
N;NORTE;2024-01-03 13:00:00;7093.95099999
NE;NORDESTE;2024-01-03 13:00:00;13065.25899999
S;SUL;2024-01-03 13:00:00;14580.60800000
SE;SUDESTE;2024-01-03 13:00:00;47832.11200000
N;NORTE;2024-01-03 14:00:00;7472.90600000
NE;NORDESTE;2024-01-03 14:00:00;13504.73300000
S;SUL;2024-01-03 14:00:00;14979.29400000
SE;SUDESTE;2024-01-03 14:00:00;48707.28400000
N;NORTE;2024-01-03 15:00:00;7540.83100000
NE;NORDESTE;2024-01-03 15:00:00;13509.01600000
S;SUL;2024-01-03 15:00:00;15085.18000000
SE;SUDESTE;2024-01-03 15:00:00;49418.73400000
N;NORTE;2024-01-03 16:00:00;7438.81000000
NE;NORDESTE;2024-01-03 16:00:00;13498.28200000
S;SUL;2024-01-03 16:00:00;15102.12300000
SE;SUDESTE;2024-01-03 16:00:00;48909.73999999
N;NORTE;2024-01-03 17:00:00;7205.97000000
NE;NORDESTE;2024-01-03 17:00:00;12966.28200000
S;SUL;2024-01-03 17:00:00;14777.59800000
SE;SUDESTE;2024-01-03 17:00:00;46768.23900000
N;NORTE;2024-01-03 18:00:00;7033.25000000
NE;NORDESTE;2024-01-03 18:00:00;13658.89399999
S;SUL;2024-01-03 18:00:00;14094.36599999
SE;SUDESTE;2024-01-03 18:00:00;46403.53799999
N;NORTE;2024-01-03 19:00:00;7273.89600000
NE;NORDESTE;2024-01-03 19:00:00;13881.67000000
S;SUL;2024-01-03 19:00:00;14746.53799999
SE;SUDESTE;2024-01-03 19:00:00;48299.91199999
N;NORTE;2024-01-03 20:00:00;7322.18300000
NE;NORDESTE;2024-01-03 20:00:00;13921.07299999
S;SUL;2024-01-03 20:00:00;15238.91399999
SE;SUDESTE;2024-01-03 20:00:00;48410.54199999
N;NORTE;2024-01-03 21:00:00;7474.87099999
NE;NORDESTE;2024-01-03 21:00:00;14363.20999999
S;SUL;2024-01-03 21:00:00;15008.22799999
SE;SUDESTE;2024-01-03 21:00:00;47417.72100000
N;NORTE;2024-01-03 22:00:00;7666.42399999
NE;NORDESTE;2024-01-03 22:00:00;14423.65600000
S;SUL;2024-01-03 22:00:00;14545.85399999
SE;SUDESTE;2024-01-03 22:00:00;45638.79900000
N;NORTE;2024-01-03 23:00:00;7727.29100000
NE;NORDESTE;2024-01-03 23:00:00;14159.31700000
S;SUL;2024-01-03 23:00:00;13561.50000000
SE;SUDESTE;2024-01-03 23:00:00;43478.90799999
N;NORTE;2024-01-04 00:00:00;7668.93800000
NE;NORDESTE;2024-01-04 00:00:00;13718.72900000
S;SUL;2024-01-04 00:00:00;12604.47400000
SE;SUDESTE;2024-01-04 00:00:00;41175.48099999
N;NORTE;2024-01-04 01:00:00;7386.20000000
NE;NORDESTE;2024-01-04 01:00:00;13407.86800000
S;SUL;2024-01-04 01:00:00;11897.46000000
SE;SUDESTE;2024-01-04 01:00:00;39339.21100000
N;NORTE;2024-01-04 02:00:00;7208.01000000
NE;NORDESTE;2024-01-04 02:00:00;13098.94600000
S;SUL;2024-01-04 02:00:00;11429.21799999
SE;SUDESTE;2024-01-04 02:00:00;37975.04600000
N;NORTE;2024-01-04 03:00:00;7173.88400000
NE;NORDESTE;2024-01-04 03:00:00;12879.49500000
S;SUL;2024-01-04 03:00:00;11198.00099999
SE;SUDESTE;2024-01-04 03:00:00;37372.42000000
N;NORTE;2024-01-04 04:00:00;7059.23000000
NE;NORDESTE;2024-01-04 04:00:00;12687.44999999
S;SUL;2024-01-04 04:00:00;11133.74900000
SE;SUDESTE;2024-01-04 04:00:00;37361.42800000
N;NORTE;2024-01-04 05:00:00;6972.30200000
NE;NORDESTE;2024-01-04 05:00:00;12073.87500000
S;SUL;2024-01-04 05:00:00;11267.35700000
SE;SUDESTE;2024-01-04 05:00:00;37597.30399999
N;NORTE;2024-01-04 06:00:00;6680.07800000
NE;NORDESTE;2024-01-04 06:00:00;11878.03200000
S;SUL;2024-01-04 06:00:00;11964.11299999
SE;SUDESTE;2024-01-04 06:00:00;38547.89800000
N;NORTE;2024-01-04 07:00:00;6611.65900000
NE;NORDESTE;2024-01-04 07:00:00;12445.97499999
S;SUL;2024-01-04 07:00:00;13233.86800000
SE;SUDESTE;2024-01-04 07:00:00;41080.50799999
N;NORTE;2024-01-04 08:00:00;6834.73299999
NE;NORDESTE;2024-01-04 08:00:00;13212.40000000
S;SUL;2024-01-04 08:00:00;14109.03100000
SE;SUDESTE;2024-01-04 08:00:00;43130.12999999
N;NORTE;2024-01-04 09:00:00;7028.91900000
NE;NORDESTE;2024-01-04 09:00:00;13271.90199999
S;SUL;2024-01-04 09:00:00;14284.26600000
SE;SUDESTE;2024-01-04 09:00:00;44257.21599999
N;NORTE;2024-01-04 10:00:00;7108.28500000
NE;NORDESTE;2024-01-04 10:00:00;13648.98100000
S;SUL;2024-01-04 10:00:00;14541.87400000
SE;SUDESTE;2024-01-04 10:00:00;45053.52499999
N;NORTE;2024-01-04 11:00:00;7177.20600000
NE;NORDESTE;2024-01-04 11:00:00;13618.91799999
S;SUL;2024-01-04 11:00:00;15057.29799999
SE;SUDESTE;2024-01-04 11:00:00;45376.66200000
N;NORTE;2024-01-04 12:00:00;7093.07700000
NE;NORDESTE;2024-01-04 12:00:00;13316.16099999
S;SUL;2024-01-04 12:00:00;14850.08499999
SE;SUDESTE;2024-01-04 12:00:00;45446.82700000
N;NORTE;2024-01-04 13:00:00;7303.41700000
NE;NORDESTE;2024-01-04 13:00:00;13510.52800000
S;SUL;2024-01-04 13:00:00;15562.72699999
SE;SUDESTE;2024-01-04 13:00:00;46270.57099999
N;NORTE;2024-01-04 14:00:00;7618.47599999
NE;NORDESTE;2024-01-04 14:00:00;13836.14100000
S;SUL;2024-01-04 14:00:00;15729.38499999
SE;SUDESTE;2024-01-04 14:00:00;47285.48299999
N;NORTE;2024-01-04 15:00:00;7666.04499999
NE;NORDESTE;2024-01-04 15:00:00;13731.80899999
S;SUL;2024-01-04 15:00:00;15492.13300000
SE;SUDESTE;2024-01-04 15:00:00;47434.19500000
N;NORTE;2024-01-04 16:00:00;7512.84400000
NE;NORDESTE;2024-01-04 16:00:00;13763.61300000
S;SUL;2024-01-04 16:00:00;15477.99200000
SE;SUDESTE;2024-01-04 16:00:00;47231.08199999
N;NORTE;2024-01-04 17:00:00;7222.46500000
NE;NORDESTE;2024-01-04 17:00:00;13295.92399999
S;SUL;2024-01-04 17:00:00;15036.85100000
SE;SUDESTE;2024-01-04 17:00:00;45743.59700000
N;NORTE;2024-01-04 18:00:00;7132.78300000
NE;NORDESTE;2024-01-04 18:00:00;13905.44899999
S;SUL;2024-01-04 18:00:00;14409.18199999
SE;SUDESTE;2024-01-04 18:00:00;45662.26300000
N;NORTE;2024-01-04 19:00:00;7364.80000000
NE;NORDESTE;2024-01-04 19:00:00;14103.78500000
S;SUL;2024-01-04 19:00:00;15014.81099999
SE;SUDESTE;2024-01-04 19:00:00;48031.62700000
N;NORTE;2024-01-04 20:00:00;7520.84200000
NE;NORDESTE;2024-01-04 20:00:00;14072.94099999
S;SUL;2024-01-04 20:00:00;15508.80700000
SE;SUDESTE;2024-01-04 20:00:00;48132.09000000
N;NORTE;2024-01-04 21:00:00;7680.35799999
NE;NORDESTE;2024-01-04 21:00:00;14470.99900000
S;SUL;2024-01-04 21:00:00;15295.88900000
SE;SUDESTE;2024-01-04 21:00:00;47331.91100000
N;NORTE;2024-01-04 22:00:00;7845.44999999
NE;NORDESTE;2024-01-04 22:00:00;14511.80100000
S;SUL;2024-01-04 22:00:00;14745.82200000
SE;SUDESTE;2024-01-04 22:00:00;45584.44100000
N;NORTE;2024-01-04 23:00:00;7881.95099999
NE;NORDESTE;2024-01-04 23:00:00;14291.68700000
S;SUL;2024-01-04 23:00:00;13855.15700000
SE;SUDESTE;2024-01-04 23:00:00;43293.86099999
N;NORTE;2024-01-05 00:00:00;7802.82200000
NE;NORDESTE;2024-01-05 00:00:00;13744.61800000
S;SUL;2024-01-05 00:00:00;12649.90000000
SE;SUDESTE;2024-01-05 00:00:00;40713.16999999
N;NORTE;2024-01-05 01:00:00;7650.42100000
NE;NORDESTE;2024-01-05 01:00:00;13455.50099999
S;SUL;2024-01-05 01:00:00;11997.29899999
SE;SUDESTE;2024-01-05 01:00:00;38819.33200000
N;NORTE;2024-01-05 02:00:00;7475.17000000
NE;NORDESTE;2024-01-05 02:00:00;13132.98899999
S;SUL;2024-01-05 02:00:00;11495.85400000
SE;SUDESTE;2024-01-05 02:00:00;37629.43699999
N;NORTE;2024-01-05 03:00:00;7314.96500000
NE;NORDESTE;2024-01-05 03:00:00;12854.42299999
S;SUL;2024-01-05 03:00:00;11161.35099999
SE;SUDESTE;2024-01-05 03:00:00;36897.78499999
N;NORTE;2024-01-05 04:00:00;7205.02800000
NE;NORDESTE;2024-01-05 04:00:00;12716.62899999
S;SUL;2024-01-05 04:00:00;11067.62399999
SE;SUDESTE;2024-01-05 04:00:00;36782.69100000
N;NORTE;2024-01-05 05:00:00;7078.23399999
NE;NORDESTE;2024-01-05 05:00:00;12122.80700000
S;SUL;2024-01-05 05:00:00;11176.59399999
SE;SUDESTE;2024-01-05 05:00:00;36974.23100000
N;NORTE;2024-01-05 06:00:00;6707.30500000
NE;NORDESTE;2024-01-05 06:00:00;11870.86099999
S;SUL;2024-01-05 06:00:00;11775.52200000
SE;SUDESTE;2024-01-05 06:00:00;38075.65199999
N;NORTE;2024-01-05 07:00:00;6767.97400000
NE;NORDESTE;2024-01-05 07:00:00;12509.08900000
S;SUL;2024-01-05 07:00:00;13035.72100000
SE;SUDESTE;2024-01-05 07:00:00;40766.67199999
N;NORTE;2024-01-05 08:00:00;7064.80600000
NE;NORDESTE;2024-01-05 08:00:00;13374.34600000
S;SUL;2024-01-05 08:00:00;13930.17799999
SE;SUDESTE;2024-01-05 08:00:00;43024.06899999
N;NORTE;2024-01-05 09:00:00;7239.98599999
NE;NORDESTE;2024-01-05 09:00:00;13761.56499999
S;SUL;2024-01-05 09:00:00;14266.57800000
SE;SUDESTE;2024-01-05 09:00:00;44551.75199999
N;NORTE;2024-01-05 10:00:00;7339.55900000
NE;NORDESTE;2024-01-05 10:00:00;14036.02099999
S;SUL;2024-01-05 10:00:00;14553.63700000
SE;SUDESTE;2024-01-05 10:00:00;45914.03300000
N;NORTE;2024-01-05 11:00:00;7237.84500000
NE;NORDESTE;2024-01-05 11:00:00;14009.88600000
S;SUL;2024-01-05 11:00:00;14825.64299999
SE;SUDESTE;2024-01-05 11:00:00;46554.62500000
N;NORTE;2024-01-05 12:00:00;7206.56800000
NE;NORDESTE;2024-01-05 12:00:00;13662.79499999
S;SUL;2024-01-05 12:00:00;14864.23499999
SE;SUDESTE;2024-01-05 12:00:00;46482.60100000
N;NORTE;2024-01-05 13:00:00;7392.31800000
NE;NORDESTE;2024-01-05 13:00:00;13897.27299999
S;SUL;2024-01-05 13:00:00;15598.63799999
SE;SUDESTE;2024-01-05 13:00:00;47649.51300000
N;NORTE;2024-01-05 14:00:00;7517.25900000
NE;NORDESTE;2024-01-05 14:00:00;14056.54500000
S;SUL;2024-01-05 14:00:00;15893.30900000
SE;SUDESTE;2024-01-05 14:00:00;48150.72700000
N;NORTE;2024-01-05 15:00:00;7427.02700000
NE;NORDESTE;2024-01-05 15:00:00;14006.98899999
S;SUL;2024-01-05 15:00:00;15617.83899999
SE;SUDESTE;2024-01-05 15:00:00;48006.11399999
N;NORTE;2024-01-05 16:00:00;7324.35300000
NE;NORDESTE;2024-01-05 16:00:00;13720.81600000
S;SUL;2024-01-05 16:00:00;15283.61399999
SE;SUDESTE;2024-01-05 16:00:00;47324.58200000
N;NORTE;2024-01-05 17:00:00;7146.62899999
NE;NORDESTE;2024-01-05 17:00:00;13178.99500000
S;SUL;2024-01-05 17:00:00;14852.88199999
SE;SUDESTE;2024-01-05 17:00:00;45822.68899999
N;NORTE;2024-01-05 18:00:00;7009.00199999
NE;NORDESTE;2024-01-05 18:00:00;13945.67599999
S;SUL;2024-01-05 18:00:00;14169.06200000
SE;SUDESTE;2024-01-05 18:00:00;45620.57700000
N;NORTE;2024-01-05 19:00:00;7211.23400000
NE;NORDESTE;2024-01-05 19:00:00;14125.08700000
S;SUL;2024-01-05 19:00:00;14723.62000000
SE;SUDESTE;2024-01-05 19:00:00;48009.40399999
N;NORTE;2024-01-05 20:00:00;7368.82800000
NE;NORDESTE;2024-01-05 20:00:00;14057.64900000
S;SUL;2024-01-05 20:00:00;15219.73700000
SE;SUDESTE;2024-01-05 20:00:00;48057.69299999
N;NORTE;2024-01-05 21:00:00;7536.08200000
NE;NORDESTE;2024-01-05 21:00:00;14488.62100000
S;SUL;2024-01-05 21:00:00;15012.33599999
SE;SUDESTE;2024-01-05 21:00:00;47122.91299999
N;NORTE;2024-01-05 22:00:00;7648.44199999
NE;NORDESTE;2024-01-05 22:00:00;14506.77600000
S;SUL;2024-01-05 22:00:00;14544.59600000
SE;SUDESTE;2024-01-05 22:00:00;45549.11900000
N;NORTE;2024-01-05 23:00:00;7698.78000000
NE;NORDESTE;2024-01-05 23:00:00;14254.44500000
S;SUL;2024-01-05 23:00:00;13817.88399999
SE;SUDESTE;2024-01-05 23:00:00;43575.58099999
N;NORTE;2024-01-06 00:00:00;7612.97900000
NE;NORDESTE;2024-01-06 00:00:00;13882.66700000
S;SUL;2024-01-06 00:00:00;13012.88300000
SE;SUDESTE;2024-01-06 00:00:00;41634.94100000
N;NORTE;2024-01-06 01:00:00;7465.05199999
NE;NORDESTE;2024-01-06 01:00:00;13559.97900000
S;SUL;2024-01-06 01:00:00;12263.64500000
SE;SUDESTE;2024-01-06 01:00:00;40060.62100000
N;NORTE;2024-01-06 02:00:00;7409.55699999
NE;NORDESTE;2024-01-06 02:00:00;13236.70400000
S;SUL;2024-01-06 02:00:00;11652.74900000
